ref_id,userId,id,title,price,type,sq_feet,availability,avdate,location,thumb,thumb2,slide,link,latitude,longitude,marker,address,address_hidden,city,province,intro,community,quadrant,phone,phone_2,preferred_contact,website,email,smoking,lease_term,garage_size,status,book_tour,v,s,f,bedrooms,den,baths,cats,dogs,utilities_included,features
585467,1998219,585467,Beautiful Rentals in the Heart of Britannia,2250 - 2699,Apartment,"921, 1230, 964, 938",Immediate,Immediate,Windsor Park,https://f1a3d4fea3a9a877e732-356deb4d9644d2835b7712e712dbd1ea.ssl.cf2.rackcdn.com/585467/thumber_11168815.v.73d6bacfdb455cfeaa839f9ba5020859.jpg,https://f1a3d4fea3a9a877e732-356deb4d9644d2835b7712e712dbd1ea.ssl.cf2.rackcdn.com/585467/thumber_11168815.v.73d6bacfdb455cfeaa839f9ba5020859.jpg,https://f1a3d4fea3a9a877e732-356deb4d9644d2835b7712e712dbd1ea.ssl.cf2.rackcdn.com/585467/slide_11168815.v.73d6bacfdb455cfeaa839f9ba5020859.jpg,/ab/calgary/rentals/apartment/1-bedroom/windsor-park/pet-friendly/585467,51.008450300000,-114.081118900000,f1065aa056b6f514bc3ca5cfd385aed5,5112 Elbow Drive Southwest,False,Calgary,Alberta,5112 Elbow Drive Southwest,Windsor Park,,5876027581,,Phone||Text||Email,http://windsoryyc.com,1,Non-Smoking,Long Term,underground,active,,3,RSYNC,2,1 - 2,"Yes, No",1 - 2,True,True,"['Heat', 'Water']","['Elevator', 'Fridge', 'Oven/Stove', 'Laundry - In Suite']"
560938,1857661,560938,Brand New Luxury Mid-Rise Suites! Receive up to $1500 in Gift Cards! *Conditions Apply!,2750 - 2925,Apartment,"873, 887",Immediate,Immediate,Lower Mount Royal,https://f1a3d4fea3a9a877e732-356deb4d9644d2835b7712e712dbd1ea.ssl.cf2.rackcdn.com/560938/thumber_11455726.v.df75bf0322fdccd0b94a01a747f48665.jpg,https://f1a3d4fea3a9a877e732-356deb4d9644d2835b7712e712dbd1ea.ssl.cf2.rackcdn.com/560938/thumber_11455726.v.df75bf0322fdccd0b94a01a747f48665.jpg,https://f1a3d4fea3a9a877e732-356deb4d9644d2835b7712e712dbd1ea.ssl.cf2.rackcdn.com/560938/slide_11455726.v.df75bf0322fdccd0b94a01a747f48665.jpg,/ab/calgary/rentals/apartment/2-bedrooms/lower-mount-royal/pet-friendly/560938,51.034912900000,-114.081099200000,7f5fd3cce0fc956c2eca5afae4180faf,829 Royal Ave. SW,False,Calgary,Alberta,829 Royal Ave. SW,Lower Mount Royal,,5879000057,4038016664,Phone||Text||Email,http://www.liveatlynnbrooke.com,1,Non-Smoking,Long Term,"covered, underground, outdoor",active,,3,RSYNC,2,2 - 2 + Den,No,2,True,True,"['Heat', 'Water']","['Elevator', 'Fridge', 'Oven/Stove', 'Laundry - In Suite']"
118106,104722,118106,Spacious apartments in Quarry Park at The Laurier,1863 - 2088,Apartment,,Immediate,Immediate,Quarry Park,https://f1a3d4fea3a9a877e732-356deb4d9644d2835b7712e712dbd1ea.ssl.cf2.rackcdn.com/118106/thumber_9638461.v.dc0663e4667ebfc96301363e9f34eb4e.jpg,https://f1a3d4fea3a9a877e732-356deb4d9644d2835b7712e712dbd1ea.ssl.cf2.rackcdn.com/118106/thumber_9638461.v.dc0663e4667ebfc96301363e9f34eb4e.jpg,https://f1a3d4fea3a9a877e732-356deb4d9644d2835b7712e712dbd1ea.ssl.cf2.rackcdn.com/118106/slide_9638461.v.dc0663e4667ebfc96301363e9f34eb4e.jpg,/ab/calgary/rentals/apartment/1-bedroom/quarry-park/pet-friendly/118106,50.959030600000,-114.013849900000,a3eaaa231bc60ee766d4102f7c73dcf7,100 & 200 Quarry Villas SE,False,Calgary,Alberta,100 & 200 Quarry Villas SE,Quarry Park,,5878714261,,Phone||Text||Email,https://www.mintoapartments.com/calgary/apartment-rentals/The-Laurier/main.html?utm_source=RentSync&utm_medium=Rentals.ca%20Infinity%20Network&utm_campaign=The%20Laurier,1,Non-Smoking,Long Term,covered,active,,3,RSYNC,2,1 - 2,No,1,True,True,"['Heat', 'Water', 'Internet']","['Elevator', 'Laundry - Shared', 'Fridge', 'Oven/Stove']"
417846,1252043,417846,Vibrant Beltline Living,1670 - 3668,Apartment,"1033, 524, 389, 543, 523, 562, 665, 962, 834, 696, 554",Immediate,"Immediate, January 01, December 07",Downtown,https://f1a3d4fea3a9a877e732-356deb4d9644d2835b7712e712dbd1ea.ssl.cf2.rackcdn.com/417846/thumber_10893710.v.83eb3373cafc1b09efde5846f4cd3c30.jpg,https://f1a3d4fea3a9a877e732-356deb4d9644d2835b7712e712dbd1ea.ssl.cf2.rackcdn.com/417846/thumber_10893710.v.83eb3373cafc1b09efde5846f4cd3c30.jpg,https://f1a3d4fea3a9a877e732-356deb4d9644d2835b7712e712dbd1ea.ssl.cf2.rackcdn.com/417846/slide_10893710.v.83eb3373cafc1b09efde5846f4cd3c30.jpg,/ab/calgary/rentals/apartment/1-bedroom/downtown/pet-friendly/417846,51.043534000000,-114.082819000000,64d952c77ee9f5219a3ae88a92d31511,919 10 Ave SW,False,Calgary,Alberta,919 10 Ave SW,Downtown,,5873279613,,Phone||Text||Email,http://www.versusliving.com?utm_source=RentSync&utm_medium=Rentals.ca%20Infinity%20Network&utm_campaign=Versus,1,Non-Smoking,Long Term,underground,active,,3,RSYNC,2,studio - 2,No,1 - 2,True,True,"['Heat', 'Internet']","['Air Conditioning', 'Microwave', 'Storage Lockers', 'Window Coverings']"
393080,392496,393080,Calgary Place Apartments,1435 - 2500,Apartment,"492, 763, 640, 1372, 586",Immediate,Immediate,Downtown,https://f1a3d4fea3a9a877e732-356deb4d9644d2835b7712e712dbd1ea.ssl.cf2.rackcdn.com/393080/thumber_11079964.v.ee830bc5fe82615ccee1e71cb50153d6.jpg,https://f1a3d4fea3a9a877e732-356deb4d9644d2835b7712e712dbd1ea.ssl.cf2.rackcdn.com/393080/thumber_11079964.v.ee830bc5fe82615ccee1e71cb50153d6.jpg,https://f1a3d4fea3a9a877e732-356deb4d9644d2835b7712e712dbd1ea.ssl.cf2.rackcdn.com/393080/slide_11079964.v.ee830bc5fe82615ccee1e71cb50153d6.jpg,/ab/calgary/rentals/apartment/1-bedroom/downtown/pet-friendly/393080,51.047691000000,-114.081481000000,16ee7f435b64e4d584e753731b5d8473,609 8th Street SW,False,Calgary,Alberta,609 8th Street SW,Downtown,,5873271503,,Phone||Text||Email,https://www.quadrealres.com/apartments/ab/calgary/calgary-place-apartments-new/?utm_source=infinitybundle,1,Non-Smoking,Long Term,underground,active,,3,RSYNC,2,1 - 2,No,1 - 2,True,True,"['Heat', 'Water']","['Dishwasher', 'In-suite Storage', 'Laundry - Shared', 'Balcony']"
434562,1190839,434562,Elevate Your Lifestyle: Luxury and Convenience at The Award-Winning Residences at TELUS Sky,1995 - 3417,Apartment,"609, 531, 613, 841, 913, 568, 638, 728, 726, 689, 1033, 806, 1029, 563",Immediate,"Immediate, January 01",Downtown,https://f1a3d4fea3a9a877e732-356deb4d9644d2835b7712e712dbd1ea.ssl.cf2.rackcdn.com/434562/thumber_11283148.v.843db9c3a97215cb1f0b6de2a4f2779e.jpg,https://f1a3d4fea3a9a877e732-356deb4d9644d2835b7712e712dbd1ea.ssl.cf2.rackcdn.com/434562/thumber_11283148.v.843db9c3a97215cb1f0b6de2a4f2779e.jpg,https://f1a3d4fea3a9a877e732-356deb4d9644d2835b7712e712dbd1ea.ssl.cf2.rackcdn.com/434562/slide_11283148.v.843db9c3a97215cb1f0b6de2a4f2779e.jpg,/ab/calgary/rentals/apartment/1-bedroom/downtown/pet-friendly/434562,51.046632865945,-114.063209663230,35db67fff4069fab0b35942c089cfe55,655 Centre Street SW,False,Calgary,Alberta,655 Centre Street SW,Downtown,,5876021161,,Phone||Text||Email,,1,Non-Smoking,Long Term,underground,active,,3,RSYNC,2,studio - 2,No,1 - 2,True,True,"['Cable', 'Internet', 'Heat', 'Water', 'Electricity']","['Elevator', 'Storage Lockers', 'Zero-Step Entrance', 'Air Conditioning']"
361795,392496,361795,SODO,1825 - 2500,Apartment,"636, 629, 910, 507, 549, 772",Immediate,"Immediate, December 07",Beltline,https://f1a3d4fea3a9a877e732-356deb4d9644d2835b7712e712dbd1ea.ssl.cf2.rackcdn.com/361795/thumber_11069830.v.1d8a2e3fff0cbd9ee3475a7cf19d17cc.jpg,https://f1a3d4fea3a9a877e732-356deb4d9644d2835b7712e712dbd1ea.ssl.cf2.rackcdn.com/361795/thumber_11069830.v.1d8a2e3fff0cbd9ee3475a7cf19d17cc.jpg,https://f1a3d4fea3a9a877e732-356deb4d9644d2835b7712e712dbd1ea.ssl.cf2.rackcdn.com/361795/slide_11069830.v.1d8a2e3fff0cbd9ee3475a7cf19d17cc.jpg,/ab/calgary/rentals/apartment/1-bedroom/beltline/pet-friendly/361795,51.044004000000,-114.075438000000,e1a8fafd2c2f2f491d83f2e3be09b010,620 10 Avenue SW,False,Calgary,Alberta,620 10 Avenue SW,Beltline,,5874184584,,Phone||Text||Email,https://www.quadrealres.com/apartments/ab/calgary/sodo/?utm_source=infinitybundle,1,Non-Smoking,Long Term,covered,active,,3,RSYNC,2,1 - 2,No,1 - 2,True,True,"['Heat', 'Water']","['Dishwasher', 'Laundry - In Suite', 'In-suite Storage', 'Balcony']"
383003,104722,383003,Receive Free High-Speed Internet. Inquire Today!,1914 - 2600,Apartment,,Immediate,Immediate,Downtown,https://f1a3d4fea3a9a877e732-356deb4d9644d2835b7712e712dbd1ea.ssl.cf2.rackcdn.com/383003/thumber_9493164.v.88380e630f6d69f242a45215b30500f6.jpg,https://f1a3d4fea3a9a877e732-356deb4d9644d2835b7712e712dbd1ea.ssl.cf2.rackcdn.com/383003/thumber_9493164.v.88380e630f6d69f242a45215b30500f6.jpg,https://f1a3d4fea3a9a877e732-356deb4d9644d2835b7712e712dbd1ea.ssl.cf2.rackcdn.com/383003/slide_9493164.v.88380e630f6d69f242a45215b30500f6.jpg,/ab/calgary/rentals/apartment/1-bedroom/downtown/pet-friendly/383003,51.049773200000,-114.066504900000,e126cde48fe9803f842210452cf545ce,220 4th Avenue SW,False,Calgary,Alberta,220 4th Avenue SW,Downtown,,5876020615,,Phone||Text||Email,https://www.mintoapartments.com/calgary/apartment-rentals/The-International/main.html?utm_source=RentSync&utm_medium=Rentals.ca%20Infinity%20Network&utm_campaign=The%20International,1,Non-Smoking,Long Term,covered,active,,3,RSYNC,2,1 - 2,No,1,True,True,"['Water', 'Heat', 'Internet']","['Elevator', 'Storage Lockers', 'Air Conditioning', 'Fridge']"
568004,1857661,568004,Welcome to UXBorough Living! Where contemporary life and classy design collide. ,1735 - 3270,Apartment,"729, 715, 611, 782, 810, 903, 901, 898, 908, 758, 940, 935, 1033",Immediate,Immediate,University Heights,https://f1a3d4fea3a9a877e732-356deb4d9644d2835b7712e712dbd1ea.ssl.cf2.rackcdn.com/568004/thumber_11455729.v.3bfc8c5e72093a0dc3a71c497694cd1a.jpg,https://f1a3d4fea3a9a877e732-356deb4d9644d2835b7712e712dbd1ea.ssl.cf2.rackcdn.com/568004/thumber_11455729.v.3bfc8c5e72093a0dc3a71c497694cd1a.jpg,https://f1a3d4fea3a9a877e732-356deb4d9644d2835b7712e712dbd1ea.ssl.cf2.rackcdn.com/568004/slide_11455729.v.3bfc8c5e72093a0dc3a71c497694cd1a.jpg,/ab/calgary/rentals/apartment/1-bedroom/university-heights/pet-friendly/568004,51.069806800000,-114.131184400000,d65313cd8fb1ab9297715660876e598c,30 Uxborough Place NW,False,Calgary,Alberta,30 Uxborough Place NW,University Heights,,5873185504,,Phone||Text||Email,https://www.liveatuxborough.com/,1,Non-Smoking,Long Term,underground,active,,3,RSYNC,2,1 - 3,No,1 - 2,True,True,"['Heat', 'Water']","['Elevator', 'Fridge', 'Oven/Stove', 'Laundry - In Suite']"
476038,1252043,476038,Discover the Reasons to Live at BLVD,1827 - 2769,Apartment,"939, 596, 559, 536, 539, 631, 901, 573, 540, 905, 1321, 894, 888, 752, 892, 952",Immediate,"Immediate, February 01, January 01",Beltline,https://f1a3d4fea3a9a877e732-356deb4d9644d2835b7712e712dbd1ea.ssl.cf2.rackcdn.com/476038/thumber_11337132.v.10458d77cdb86a9b74860e38b7c73533.jpg,https://f1a3d4fea3a9a877e732-356deb4d9644d2835b7712e712dbd1ea.ssl.cf2.rackcdn.com/476038/thumber_11337132.v.10458d77cdb86a9b74860e38b7c73533.jpg,https://f1a3d4fea3a9a877e732-356deb4d9644d2835b7712e712dbd1ea.ssl.cf2.rackcdn.com/476038/slide_11337132.v.10458d77cdb86a9b74860e38b7c73533.jpg,/ab/calgary/rentals/apartment/1-bedroom/beltline/pet-friendly/476038,51.040570700000,-114.058647400000,70cf8154297cb6b772bd69727ac10de7,1229 Macleod Trail SE,False,Calgary,Alberta,1229 Macleod Trail SE,Beltline,,8253055567,,Phone||Text||Email,http://www.blvdbeltline.com?utm_source=RentSync&utm_medium=Rentals.ca%20Infinity%20Network&utm_campaign=BLVD%20Beltline,1,Non-Smoking,Long Term,underground,active,,3,RSYNC,2,1 - 2,No,1 - 2,True,True,['Heat'],"['Elevator', 'Storage Lockers', 'Air Conditioning', 'Fridge']"
